titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
Hands-On Machine Learning - Edição Comemorativa,9789158396289,Graciliano Ramos,Farrar Straus and Giroux,1946-02-19,eng,876
The Brain That Changes Itself - Tomo II,9782644948801,Wes McKinney;Nassim Nicholas Taleb;Trevor Hastie,McGraw-Hill,2019-08-25,zho,1137
The Martian - Edição Especial,9781352950168,Jennifer Doudna;Kevin Wayne,Rocco,2022-12-08,ita,1439
Rework - Parte 2,9787376858817,Eric Ries;Gabriel García Márquez,Simon & Schuster,1984-12-19,por,1082
Dare to Lead - Guia Prático,9781091092891,Kief Morris,Springer,1974-09-23,por,1226
The Noonday Demon - Parte 3,9782939537871,Ivan Turgenev,Signet Classic,1990-05-14,por,749
O Sol Também Se Levanta - Manual do Desenvolvedor,9785459683875,Simon Sinek,Simon & Schuster,2008-12-19,por,845
The Gifts of Imperfection - Nível Intermediário,9781828131862,Ernest Hemingway,Crown,1983-05-28,spa,392
No Rules Rules - Manual do Desenvolvedor,9787633275302,Kent Beck,Vintage Books,1992-12-10,eng,1019
Notes from Underground - Edição Especial,9785719282626,Erich Gamma,Objetiva,2001-05-12,eng,828
Remote - 2023,9789169616499,Umberto Eco;Martin Fowler,Farrar Straus and Giroux,1921-09-07,spa,746
Dune - Cookbook,9781147134087,Nick Bostrom,Orbit,1974-11-09,eng,352
The Left Hand of Darkness - Guia Prático,9785683791711,Dan Simmons,Record,1903-03-25,por,1084
Life 3.0 - Vol. 3,9788399465082,Carol Dweck,St. Martin's Press,1983-06-09,eng,360
Macunaíma - Guia Completo,9786785851846,Machado de Assis,Alfaguara,2014-10-10,eng,544
Liar's Poker - Vol. 2,9787896678094,Peter Norvig;Roger Penrose,HarperCollins,2006-10-16,eng,771
Hyperion - Edição Anotada,9788996213604,Frederick Brooks;Hans Rosling,McGraw-Hill,1916-01-03,por,356
O Sol Também Se Levanta - Edição Integral,9783050338545,Kay Redfield Jamison,Leya,1905-11-03,eng,600
Sapiens - Edição de Bolso,9786226555630,Robert Sedgewick,Alfaguara,2008-09-14,eng,1312
A Wizard of Earthsea - Edição Atualizada,9786786064191,Graciliano Ramos;Clarice Lispector,Random House,1961-04-12,fra,320
Superintelligence - Vol. 5,9785106977876,Aurélien Géron;Kay Redfield Jamison;Michio Kaku,O'Reilly Media,2012-02-01,por,958
Effective Java - 2017,9787960554842,Milton Hatoum,Martins Fontes,2013-12-01,eng,170
Structure and Interpretation of Computer Programs - Edição Atualizada,9788675645450,Carol Dweck,Oxford University Press,2018-02-10,por,1471
Terraform in Practice - 6ª Edição,9788548009891,Chico Buarque,Packt Publishing,1919-01-08,por,1121
Artificial Intelligence A Modern Approach - 2018,9782881029561,Anton Chekhov,Crown,1953-09-11,rus,893
Catch-22 - Guia Prático,9780112225317,Hermann Hesse,Cambridge University Press,2001-02-16,por,779
O Lobo da Estepe - Nível Iniciante,9787904464251,Jonathan Franzen,Wiley,1932-08-15,eng,775
Building Microservices - Edição Comemorativa,9782386475429,Leo Tolstoy,Yale University Press,1991-01-11,por,338
Introduction to the Theory of Computation - Fundamentals,9785790095115,James Clear,Orbit,1931-07-06,rus,646
Superintelligence - Parte 1,9787242611355,Daniel Kahneman,Anchor Books,1963-12-26,por,350
Getting Things Done - Vol. 5,9789007158938,Ursula K. Le Guin,Leya,2016-12-28,por,930
No Country for Old Men - Parte 2,9780837257266,Neil Gaiman;Mark Richards,Record,1994-11-05,eng,1232
Crítica da Razão Pura - Nível Intermediário,9783603654870,Neal Ford,Wiley,1934-06-15,por,134
Atomic Habits - Edição Clássica,9785841351917,Nassim Nicholas Taleb,Objetiva,2023-11-25,eng,1402
The Brain That Changes Itself - Edição Comemorativa,9788177661675,Daniel Kahneman;David Foster Wallace,Random House,1922-04-22,eng,302
Anathem - Essentials,9781921035289,Ursula K. Le Guin,Yale University Press,1961-11-16,fra,1449
Braving the Wilderness - Parte 1,9786043686234,Martin Fowler,Intrínseca,1938-03-04,por,357
The Tin Drum - Edição Atualizada,9789044895322,Clarice Lispector,Manning Publications,1913-06-21,eng,1050
Working Effectively with Legacy Code - Edição Premium,9783073870091,Clarice Lispector;Günter Grass,Pragmatic Bookshelf,2000-11-14,spa,554
Neuromancer - Nova Edição,9780807452264,Nikolai Gogol,Little Brown,1966-11-15,spa,999
Nudge - Step by Step,9788112665966,William Faulkner;Kief Morris;Clarice Lispector,Penguin Books,2000-10-01,spa,314
Orgulho e Preconceito - Step by Step,9788393748839,Jim Collins;F. Scott Fitzgerald;Clayton Christensen,Packt Publishing,1998-11-16,fra,1130
Cosmicomics - Edição Especial,9780624655671,Eric Evans;John Steinbeck,Random House,1978-07-09,por,431
A Montanha Mágica - in Practice,9780626060138,Douglas Hofstadter,Apress,2011-09-18,ita,913
The Emperor of All Maladies - Manual do Desenvolvedor,9784250821653,Kevin Wayne,HarperCollins,1963-09-18,por,1051
A Origem das Espécies - Edição Crítica,9783727658273,Robert Sedgewick,Yale University Press,1965-05-12,por,467
Blood Meridian - Handbook,9780198740766,Erich Gamma,Norton,1924-01-20,por,1008
Nudge - 2018,9787331437286,Brené Brown,Knopf,1967-12-15,eng,834
Clean Architecture - Edição Ilustrada,9789770682692,Steve McConnell,Random House,1907-03-07,eng,1226
Algorithm Design - Vol. 3,9788685806070,Brian Greene,Alfaguara,1903-11-16,por,966
Surely You're Joking Mr. Feynman - A Deep Dive,9786103256933,Aldous Huxley,Record,1972-12-18,eng,788
The Pragmatic Programmer - Nova Edição,9788957712016,Robert C. Martin,Packt Publishing,2004-03-19,eng,251
Designing Data-Intensive Applications - 5ª Edição,9782314757474,Leo Tolstoy;Orson Scott Card,Anchor Books,1906-03-04,eng,294
Deep Work - Applied,9783812516082,Donald Knuth;Michael Feathers,Rocco,2001-08-01,por,721
The Innovator's Dilemma - 2024,9780919451223,Michael Lewis,Packt Publishing,1944-10-08,eng,678
O Gene Egoísta - The Complete Guide,9781832636452,Graciliano Ramos;João Guimarães Rosa,Random House,1904-10-19,fra,576
Anathem - Tomo I,9783152546145,Paul Clements,Rocco,2015-12-27,por,698
Crime e Castigo - Vol. 2,9783512506987,João Guimarães Rosa,Martins Fontes,2013-04-16,por,320
Ser e Tempo - Edição Ilustrada,9787183732966,Machado de Assis,Sams Publishing,1953-07-01,eng,163
Deep Work - Cookbook,9785095086245,Robert C. Martin,Wiley,1959-12-28,por,333
Cosmos - 2020,9783086437410,J.K. Rowling;Ian Goodfellow,Farrar Straus and Giroux,1915-06-07,por,934
Deep Work - Edição Especial,9788348726608,Steven Skiena,Alfaguara,2015-04-10,spa,996
White Noise - in Action,9780170857154,Aurélien Géron,Anchor Books,1996-10-26,eng,333
Introduction to Algorithms - A Deep Dive,9782428401959,Chris Richardson;Steve McConnell,Bloom,1989-09-10,por,1014
Deep Learning - Edição Anotada,9780187485623,Michael Feathers;James Baldwin,Prentice Hall,2002-07-26,kor,1185
O Ser e o Nada - Nível Intermediário,9783365902196,Daniel Kahneman,Scribner,1900-12-07,fra,1298
High Output Management - Nível Intermediário,9781014150035,Siddhartha Mukherjee;Robert Cialdini,Vintage Books,2013-03-28,spa,1379
Working Effectively with Legacy Code - Vol. 1,9785823655750,James Clear;James Watson,Bantam Spectra,1917-09-02,eng,157
Anathem - Nível Intermediário,9786786305119,Ursula K. Le Guin,Puffin Books,1970-08-24,por,673
Hands-On Machine Learning - Vol. 4,9782307435228,Dan Simmons,Wiley,1945-05-17,eng,1056
A Revolução dos Bichos - Parte 3,9789317151735,Ivan Turgenev,O'Reilly Media,2019-04-04,eng,628
Memórias Póstumas de Brás Cubas - Edição Crítica,9787899591246,Ralph Ellison,McGraw-Hill,1950-09-08,spa,687
Siddhartha - Edição Atualizada,9789585949485,Aldous Huxley;Brendan Burns,Apress,1919-03-10,fra,410
Designing Data-Intensive Applications - For Beginners,9787593207054,Charles Duhigg,Rocco,1927-11-17,deu,67
Predictably Irrational - Parte 3,9782590482596,Jennifer Doudna;Neil Gaiman;Marcel Proust,Little Brown,1969-01-20,por,700
Dare to Lead - Best Practices,9782485507113,Anton Chekhov,Pragmatic Bookshelf,1964-12-05,eng,301
The Castle - Parte 2,9784519319839,Paul Clements,Scribner,2009-03-04,eng,453
Rendezvous with Rama - Vol. 2,9785063319351,Robert Cialdini,Houghton Mifflin,1963-03-23,eng,633
Design Patterns - Vol. 5,9783098857114,Martin Fowler,Signet Classic,1915-02-19,eng,507
Pálido Ponto Azul - 2016,9780559299711,Michael Feathers,Norton,2010-12-03,por,436
Project Hail Mary - Nível Iniciante,9789566193432,Nikolai Gogol;Michael Lewis,Random House,2019-04-02,eng,904
Structure and Interpretation of Computer Programs - Advanced Topics,9786150301280,Jim Collins,Knopf,1970-11-06,por,457
The Big Short - Edição Revisada,9784484289229,James Clear,HarperCollins,1908-04-16,eng,367
O Universo Elegante - 4ª Edição,9781241023072,Donald Knuth,Scribner,1993-04-28,eng,330
Como Fazer Amigos e Influenciar Pessoas - 2024,9780792829690,Seth Godin,Iluminuras,1928-06-09,eng,285
Test Driven Development - Edição Definitiva,9787959195568,Steven Skiena,Del Rey,1903-02-23,eng,672
The Gene - 6ª Edição,9785806422355,Neil Gaiman,Sams Publishing,1964-10-13,eng,549
Code Complete - 2023,9784244288172,Simon Sinek,Rocco,2010-12-07,fra,1462
System Design Interview - Nível Avançado,9784201901182,Leo Tolstoy;Jennifer Doudna,Signet Classic,2024-06-18,kor,82
Data Science from Scratch - Patterns and Practices,9781183756076,Viktor Frankl,Penguin Books,1907-10-21,eng,212
Predictably Irrational - For Beginners,9788595760431,Kent Beck,Pearson,1974-10-01,eng,868
Factfulness - Applied,9787022500992,Douglas Adams,Record,1960-02-16,deu,1119
A Origem das Espécies - 2023,9780655889625,Clarice Lispector,MIT Press,2015-12-12,eng,1183
Sobre a Brevidade da Vida - 2019,9782280423540,Yuval Noah Harari;James Baldwin,O'Reilly Media,1970-04-14,eng,1143
Flash Boys - Nível Avançado,9784986101746,George Orwell,Record,2014-08-23,eng,158
Dead Souls - Advanced Topics,9787539998473,Mark Richards;Leo Tolstoy,Orbit,1968-02-06,eng,398
Dom Casmurro - Handbook,9785987612682,Neal Stephenson,Manning Publications,1913-03-15,eng,939
The Gifts of Imperfection - Edição Clássica,9789427889221,F. Scott Fitzgerald,Alfaguara,1929-02-27,eng,500
A Revolução dos Bichos - 3ª Edição,9786501035680,Carl Sagan,Little Brown,1911-09-16,ita,1476
Life 3.0 - Nível Avançado,9786214940790,Max Tegmark,Rocco,2015-09-16,por,144
Assim Falou Zaratustra - Vol. 5,9788352327457,Stephen Hawking,Iluminuras,1905-10-25,eng,460
Ready Player One - Step by Step,9782924253311,Stuart Russell,Objetiva,1956-01-16,por,52
The Tin Drum - Tomo I,9788058440412,Bessel van der Kolk,Addison-Wesley,1902-06-18,eng,353
High Performance MySQL - Fundamentals,9789469642372,Douglas Adams;Robert Cialdini;Umberto Eco,Princeton University Press,1929-10-25,kor,1425
The Idiot - Applied,9784829894323,Kief Morris,Princeton University Press,1991-08-18,por,394
Guerra e Paz - A Deep Dive,9785983289505,Günter Grass,Bloom,1952-05-11,por,404
The Double Helix - Tomo III,9789910834738,Richard Dawkins,St. Martin's Press,1988-09-14,eng,1444
Guerra e Paz - Tomo I,9783453293649,J.K. Rowling,Little Brown,1921-07-21,deu,799
The Name of the Rose - 2022,9789916636152,William Gibson;Dan Simmons,Apress,1992-04-20,por,378
Braving the Wilderness - 2018,9781326654245,Viktor Frankl;Arthur C. Clarke,Tor Books,1913-01-22,deu,480
Ser e Tempo - Vol. 3,9784870053748,Michael Feathers;Thomas Pynchon,MIT Press,1918-07-08,eng,1024
The Gene - Edição Revisada,9783724593058,Len Bass,Orbit,1947-09-19,fra,1166
Security Analysis,9789228716566,Eric Evans;Brendan Burns,Doubleday,1916-02-21,eng,1465
The Left Hand of Darkness - Parte 2,9789900477013,Frederick Brooks,Orbit,1960-11-28,eng,1216
21 Lições para o Século 21 - Edição Crítica,9788087696620,James Baldwin;Robert Cialdini,Leya,2000-07-07,eng,1309
Ser e Tempo - A Deep Dive,9786734306892,Robert Cialdini,Harvard University Press,1973-09-24,eng,1182
Vidas Secas - Edição Revisada,9781368599269,Steve McConnell;Stuart Russell,Addison-Wesley,1978-09-17,eng,316
Slaughterhouse-Five - 2022,9782842035389,Frank Herbert;William Gibson,Iluminuras,1981-06-20,por,1376
Measure What Matters - Guia Prático,9785726763866,João Guimarães Rosa;Ernest Hemingway;James Clear,Vintage Books,1996-03-25,por,579
Homo Deus - Vol. 2,9786911236363,Franz Kafka,Record,1980-05-08,eng,1276
A Metamorfose - 2019,9780736063302,Peter Norvig,Companhia das Letras,1954-02-22,spa,786
O Idiota - Parte 3,9783748950592,Isabel Allende,Penguin Books,1954-11-22,eng,1467
The Power of Habit - Manual do Desenvolvedor,9789388095136,Dan Simmons,Orbit,1912-04-25,por,1423
Rendezvous with Rama - Illustrated,9782564259681,Neil Gaiman,Houghton Mifflin,1911-09-22,por,484
Dead Souls - A Deep Dive,9781812010500,Franz Kafka;Jennifer Doudna,Orbit,1941-06-02,eng,314
O Idiota - Edição Atualizada,9781491827024,Martin Kleppmann,Dutton,1908-07-10,eng,279
Database Internals - Edição Crítica,9783609340272,Neal Stephenson;Trevor Hastie,Knopf,1926-06-02,eng,660
The Pragmatic Programmer - Step by Step,9781134358243,Arthur C. Clarke,MIT Press,1903-09-20,por,233
The Cherry Orchard - 2ª Edição,9782464841740,Simon Sinek,St. Martin's Press,1934-08-06,eng,211
The Gene - Nível Avançado,9783220796670,Eric Ries,Objetiva,1979-02-06,eng,219
Structure and Interpretation of Computer Programs - Nova Edição,9782883042599,Orson Scott Card,Pragmatic Bookshelf,1958-04-07,por,299
The Trial - Parte 2,9789203137423,Charles Duhigg,Rocco,1943-07-21,zho,1434
Site Reliability Engineering - Edição Ilustrada,9787846199600,Clayton Christensen,Planeta,1981-09-09,por,99
Site Reliability Engineering - Guia Completo,9788785815781,Nick Bostrom,No Starch Press,1924-09-09,ita,574
High Output Management - 2018,9781442399716,Kurt Vonnegut,Springer,1984-10-21,por,726
Ulisses - Step by Step,9784697732413,Mário de Andrade;Jennifer Doudna,Dutton,1974-04-13,zho,188
Ready Player One - Illustrated,9785123458013,Robert C. Martin;Viktor Frankl,O'Reilly Media,1923-03-28,por,1395
No Rules Rules - Vol. 1,9783394203295,Peter Thiel;Michael Feathers,Pragmatic Bookshelf,2013-06-06,por,297
Dom Quixote - Vol. 5,9785203135667,Kevin Wayne;Andy Weir,Tor Books,1932-06-04,eng,681
Influence - Vol. 2,9787829268415,Nassim Nicholas Taleb,Addison-Wesley,2002-01-14,eng,477
The Body Keeps the Score - Nível Iniciante,9788784046735,William Gibson;Michael Feathers,Dutton,1983-08-02,por,950
Lost Connections - Fundamentals,9786642811600,Brian Greene,Yale University Press,1949-04-27,eng,1432
Atomic Habits - Edição Atualizada,9780399025327,Kief Morris,Springer,1962-11-24,por,711
Os Irmãos Karamazov - 2024,9781780448022,Peter Thiel;Gabriel García Márquez,Farrar Straus and Giroux,1949-04-12,eng,1208
O Alquimista - Edição Premium,9786967028561,Aurélien Géron,Vintage Books,1931-11-19,rus,1419
The Castle - Parte 3,9786115135875,Thomas Pynchon;David Foster Wallace;Paul Clements,Bloom,2009-10-11,por,540
Ficciones - Vol. 2,9781996818725,Nassim Nicholas Taleb,Anchor Books,1900-02-21,fra,92
The Idiot - Best Practices,9789463492102,J.K. Rowling,Pearson,1931-05-04,eng,593
The Power of Habit - Vol. 5,9786203540956,Neil deGrasse Tyson,Alfaguara,1956-10-06,por,1137
A Hora da Estrela - in Action,9785931644202,Chico Buarque,Farrar Straus and Giroux,2014-10-18,eng,1088
Childhood's End - Cookbook,9784433410919,Carl Sagan;James Clear,Knopf,1946-08-11,deu,1131
O Universo Elegante - Edição de Bolso,9780294323740,Baron Schwartz;Richard Dawkins,Cambridge University Press,2024-07-03,por,83
Database Internals - Vol. 5,9789191317913,Fyodor Dostoevsky,Norton,2022-02-18,fra,1290
O Idiota - 2021,9780126038453,Sam Newman;John Steinbeck,Intrínseca,2020-06-06,deu,139
Sapiens - The Complete Guide,9784765413770,Sam Newman;Richard Feynman,Random House,2007-06-18,eng,1316
Fahrenheit 451 - Illustrated,9783083920861,Suzanne Collins;Graciliano Ramos;Steve McConnell,MIT Press,2020-09-28,eng,1269
A Wizard of Earthsea - 2020,9780003422177,Ivan Turgenev,Princeton University Press,2016-10-28,por,970
Liar's Poker - For Beginners,9783383324857,Johann Hari,Princeton University Press,1972-11-26,fra,937
Man's Search for Meaning - in Depth,9789065380760,Michael Feathers,Rocco,1954-06-03,eng,1390
White Noise,9783049945891,Hans Rosling;Thomas Mann,Doubleday,1978-02-21,eng,125
Grande Sertão Veredas - Edição Premium,9788762157200,Ian Goodfellow;Peter Thiel,Del Rey,1984-08-11,eng,518
A Random Walk Down Wall Street - Fundamentals,9787594117437,Cal Newport,Apress,1965-12-18,eng,1083
Dom Quixote - Edição Crítica,9787000257382,Orson Scott Card;Paul Clements;Douglas Hofstadter,Objetiva,2004-11-26,por,203
The War of the Worlds - Best Practices,9787773980234,Viktor Frankl,Orbit,1918-09-12,por,1217
Enlightenment Now - Vol. 3,9784792985066,Seth Godin,Simon & Schuster,1936-07-09,eng,275
Site Reliability Engineering - Tomo II,9784112555368,James Baldwin,Houghton Mifflin,1919-06-08,spa,1397
Invisible Man - 2016,9782580480243,Jonathan Franzen,HarperCollins,1943-12-02,por,219
Superintelligence - 2022,9787584153261,Brendan Burns,Scribner,1907-09-21,por,990
Measure What Matters - Edição Revisada,9785781635702,Malcolm Gladwell,Wiley,1949-08-02,jpn,875
The Emperor of All Maladies - in Action,9785238208855,Trevor Hastie,Objetiva,1965-03-02,eng,896
High Performance MySQL - For Beginners,9786021337059,James Baldwin,Harvard University Press,1963-10-02,eng,500
High Output Management - Edição Definitiva,9781992633735,Franz Kafka;H.G. Wells,O'Reilly Media,1992-11-03,por,959
A Montanha Mágica - Fundamentals,9782652625435,Paul Clements;Dan Simmons,Oxford University Press,1907-06-10,eng,1479
Measure What Matters - Fundamentals,9783170831773,Betsy Beyer;Thomas Pynchon,Prentice Hall,1992-06-24,por,162
The Big Short - Vol. 2,9786799419360,Isabel Allende;Baron Schwartz,Little Brown,2023-02-21,eng,221
The Left Hand of Darkness - Edição Atualizada,9784856469730,Thomas Mann,St. Martin's Press,1983-03-09,por,1078
Deep Learning - Step by Step,9786050258691,Ivan Turgenev,Scribner,2009-12-27,spa,444
Guerra e Paz - Edição de Bolso,9780008351366,James Clear,Vintage Books,1923-01-23,por,273
Accelerate - Edição Definitiva,9787070220828,Machado de Assis,Random House,1933-02-26,eng,900
Invisible Cities - Step by Step,9782490002030,Thomas Pynchon,Harvard University Press,1975-08-13,deu,420
Site Reliability Engineering - Edição Atualizada,9785068351585,Graciliano Ramos;Richard Dawkins,Houghton Mifflin,1909-03-03,fra,1138
Vidas Secas - Edição Integral,9783715371627,Robert Cialdini,HarperCollins,1914-03-18,spa,605
American Gods - Edição Clássica,9780500494486,Alex Xu;Christopher Bishop;Jonathan Franzen,Oxford University Press,1909-04-11,por,927
Ulisses - Parte 3,9780112809982,Sam Newman;Jonathan Franzen;Nick Bostrom,St. Martin's Press,1949-04-10,por,1410
Nudge - Edição Crítica,9781666042696,Cal Newport,Martins Fontes,1980-02-05,por,320
The Gifts of Imperfection - Vol. 5,9788008648615,Sam Newman;Italo Calvino,Del Rey,2024-01-28,por,461
Memórias Póstumas de Brás Cubas - 5ª Edição,9782354586409,Joseph Heller,Bloom,1983-10-22,spa,424
